solid,target_vertices,target_faces,point_count,target_diameter,best_numerical_diameter,certified_padded_upper,completed_starts
six_trd,32,18,53,1.2247448713915892,0.9635512424574932,0.963551242461420,2000
tetrahedron,4,4,15,2.449489742783178,1.4999999999999998,1.500000000006929,2000
cube,8,6,22,1.7320508075688772,1.2247448713915894,1.224744871395997,2000
octahedron,6,8,11,1.7320508075688772,1.224744871391589,1.224744871397246,2000
dodecahedron,20,12,36,1.258408572364819,1.0449236496756757,1.044923649680310,2000
icosahedron,12,20,35,1.2584085723648188,0.9270509831248426,0.927050983128862,2000
